REF_DATE,GEO,DGUID,Inequality measures (5),Coordinate,Year (2):2020[1],Symbol,Year (2):2015[2],Symbol
2021,Old Perlican,2021A00051001343,P90/P10 ratio on adjusted household after-tax income,53.5,3.4,,3.5,
2021,Bay de Verde,2021A00051001347,Total - Population in private households,54.1,345,,390,
2021,Bay de Verde,2021A00051001347,Gini index on adjusted household market income,54.2,0.536,,0.490,
2021,Bay de Verde,2021A00051001347,Gini index on adjusted household total income,54.3,0.273,,0.276,
2021,Bay de Verde,2021A00051001347,Gini index on adjusted household after-tax income,54.4,0.234,,0.240,
2021,Bay de Verde,2021A00051001347,P90/P10 ratio on adjusted household after-tax income,54.5,2.9,,3.2,
2021,Small Point-Adam's Cove-Blackhead-Broad Cove,2021A00051001352,Total - Population in private households,55.1,415,,385,
2021,Small Point-Adam's Cove-Blackhead-Broad Cove,2021A00051001352,Gini index on adjusted household market income,55.2,0.576,,0.486,
2021,Small Point-Adam's Cove-Blackhead-Broad Cove,2021A00051001352,Gini index on adjusted household total income,55.3,0.322,,0.312,
2021,Small Point-Adam's Cove-Blackhead-Broad Cove,2021A00051001352,Gini index on adjusted household after-tax income,55.4,0.279,,0.272,
2021,Small Point-Adam's Cove-Blackhead-Broad Cove,2021A00051001352,P90/P10 ratio on adjusted household after-tax income,55.5,3.1,,3.4,
2021,"Division No.  1, Subd. H",2021A00051001357,Total - Population in private households,56.1,325,,390,
2021,"Division No.  1, Subd. H",2021A00051001357,Gini index on adjusted household market income,56.2,0.504,,0.426,
2021,"Division No.  1, Subd. H",2021A00051001357,Gini index on adjusted household total income,56.3,0.256,,0.297,
2021,"Division No.  1, Subd. H",2021A00051001357,Gini index on adjusted household after-tax income,56.4,0.221,,0.261,
2021,"Division No.  1, Subd. H",2021A00051001357,P90/P10 ratio on adjusted household after-tax income,56.5,2.8,,3.3,
2021,Salmon Cove,2021A00051001361,Total - Population in private households,57.1,765,,680,
2021,Salmon Cove,2021A00051001361,Gini index on adjusted household market income,57.2,0.557,,0.492,
2021,Salmon Cove,2021A00051001361,Gini index on adjusted household total income,57.3,0.321,,0.339,
2021,Salmon Cove,2021A00051001361,Gini index on adjusted household after-tax income,57.4,0.274,,0.294,
2021,Salmon Cove,2021A00051001361,P90/P10 ratio on adjusted household after-tax income,57.5,3.2,,3.9,
2021,Victoria,2021A00051001365,Total - Population in private households,58.1,1660,,1800,
2021,Victoria,2021A00051001365,Gini index on adjusted household market income,58.2,0.520,,0.493,
